,a,b,c,d,e,f,g,h
1,1,1,8,8,8,8,8,8
2,8,8,1,8,1,8,8,8
3,8,8,1,1,1,8,8,1
4,8,1,1,1,8,1,8,8
5,1,1,1,8,1,1,8,1
6,8,8,1,1,8,8,8,8
7,8,8,1,1,8,1,8,1
8,8,1,1,1,1,8,8,8
9,1,8,1,8,8,1,1,8
10,1,8,8,1,1,1,1,1
11,1,8,1,1,8,1,8,1
12,8,8,1,8,1,1,8,1
13,1,1,1,1,8,8,8,1
14,1,1,1,8,8,8,8,8
15,8,1,1,8,8,1,8,8
16,1,1,1,1,8,8,1,8
